gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
MLKL,MLKL,1.3799901204745169,2.7128976835934045e-41,3.2128459709984745e-39,Upregulated,welch_ttest,10.00427725206403,8.624287131589513,38.49311009472514,Transcriptional Driver
ABCG1,ABCG1,2.011163778872385,2.7070161611429565e-41,3.2128459709984745e-39,Upregulated,welch_ttest,10.96353436525551,8.952370586383125,38.49311009472514,Transcriptional Driver
CTSH,CTSH,-1.7410242428621707,2.788302195959955e-41,3.27872697936284e-39,Downregulated,welch_ttest,12.695293590499293,14.436317833361464,38.484294745664506,Transcriptional Driver
ECHS1,ECHS1,-1.8618625488440674,2.8469641463021817e-41,3.324131376457054e-39,Downregulated,welch_ttest,12.53876028369952,14.400622832543588,38.47832182034435,Transcriptional Driver
BDH2,BDH2,-1.9228636505674785,2.918735120487582e-41,3.38409988095693e-39,Downregulated,welch_ttest,12.615939328856276,14.538802979423755,38.4705568273386,Transcriptional Driver
LINC00887,LINC00887,5.066627781801314,3.5594124666593263e-41,4.0982679650841414e-39,Upregulated,welch_ttest,9.05501742614404,3.988389644342727,38.387399648679406,Transcriptional Driver
HACL1,HACL1,-1.3293792282595565,3.63358345509492e-41,4.1548147369292254e-39,Downregulated,welch_ttest,9.222550413550014,10.55192964180957,38.38144833662671,Transcriptional Driver
SFRP1,SFRP1,-4.889099550848965,4.094135353452255e-41,4.649367408235506e-39,Downregulated,welch_ttest,7.528884332976058,12.417983883825023,38.3326061330889,Transcriptional Driver
RNASET2,RNASET2,3.001276067343559,4.600692813361334e-41,5.189080737791219e-39,Upregulated,welch_ttest,14.096485707707796,11.095209640364237,38.284909571990674,Transcriptional Driver
TMEM178A,TMEM178A,-2.78329514058734,4.800240323263797e-41,5.377566524304983e-39,Downregulated,welch_ttest,8.206846369993906,10.990141510581246,38.269414208377064,Transcriptional Driver
ALS2CL,ALS2CL,-1.8029223547500255,4.910345554648715e-41,5.4639952547701805e-39,Downregulated,welch_ttest,8.075652221289165,9.87857457603919,38.26248968649124,Transcriptional Driver
GPAT3,GPAT3,-3.5325112092228466,5.116036566403476e-41,5.6549257513979746e-39,Downregulated,welch_ttest,9.05322874932109,12.585739958543936,38.247573092943625,Transcriptional Driver
